Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Solid_Solution_Time_h,Cold_Rolling_Reduction,Secondary_Treatment_YN,Aging_Temp_K,Aging_Time_h,Secondary_Mech_YN,Hardness_HV,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Electrical_Conductivity_IACS,DOI
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,0.5,N,127.0,,,84.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,1.0,N,124.0,,,84.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,2.0,N,120.0,,,84.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,4.0,N,115.0,,,85.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,8.0,N,110.0,,,85.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,823.0,16.0,N,103.0,,,86.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,1.0,0.0,N,,,N,71.0,,,60.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,1.0,0.0,Y,373.0,1.0,N,68.0,,,58.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,1.0,0.0,Y,473.0,1.0,N,78.0,,,59.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,1.0,0.0,Y,523.0,1.0,N,78.0,,,59.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
