Alloy_Name,Alloy_Type,Cu,Al,Cr,Mg,Ni,Si,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,603,6,74
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,603,10,74
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,633,1,75
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,633,2,77
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,633,4,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,633,6,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,633,10,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,663,1,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,663,2,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,663,4,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,663,6,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,663,10,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,693,1,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,693,2,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,693,4,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,693,6,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,693,10,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,723,1,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,723,2,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,723,4,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,723,6,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,723,10,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,1,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,4,80
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,6,81
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,10,81
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,79
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,81
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,78
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0,0,0,0,0,1208,743,2,79
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0,0,0,0,0,1173,573,1,68
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0,0,0,0,0,1173,673,1,84
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0,0,0,0,0,1173,773,1,87
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0,0,0,0,0,1173,573,1,63
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0,0,0,0,0,1173,673,1,80
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0,0,0,0,0,1173,773,1,85
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,6,73
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,12,75
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,24,75
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,0.167,35
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,0.75,59
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,0.75,66
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,1.5,66
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,6,73
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0,0.68,0,0,0,1323,723,24,82
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,3,53
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.75,53
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.75,61
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.167,46
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.333,51
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,3,54
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.167,51
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.333,53
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,1.5,56
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,12,57
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.75,57
Cu-0.7Cr-2.0Fe,Cu low alloyed,97.52,0,0.63,0,0,0,1323,873,0.75,56
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,0.333,65
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,1.5,79
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,6,85
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,0.167,46
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,0.75,74
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,1.5,81
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,6,88
Cu-1Cr,Cu low alloyed,99.19,0,0.81,0,0,0,1323,723,24,91
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,0.167,44
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,1.5,46
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,6,48
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,0.167,44
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,0.75,45
Cu-1Fe,Cu low alloyed,99,0,0.05,0,0,0,1323,923,1.5,46
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.0083,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.0167,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.0417,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.0833,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.167,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.25,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,0.5,50
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,1,55
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,2,65
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,4,71
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,6,76
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,8,76
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,663,12,77
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.0083,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.0167,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.0417,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.0833,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.167,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.25,49
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,0.5,53
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,1,66
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,2,76
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,4,79
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,6,79
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,8,80
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,693,12,82
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.0083,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.0167,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.0417,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.0833,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.167,50
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.25,54
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,0.5,71
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,1,80
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,2,80
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,4,83
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,6,84
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,8,83
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,723,12,83
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.0083,45
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.0167,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.0417,46
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.0833,48
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.167,53
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.25,62
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,0.5,76
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,1,82
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,2,82
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,4,85
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,6,85
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,8,84
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,753,12,85
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.0083,46
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.0167,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.0417,47
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.0833,49
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.167,51
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.25,54
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,0.5,62
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,1,78
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,2,86
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,4,87
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,6,88
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,8,87
Cu-0.28Cr-0.19Mg,Cu low alloyed,99.53,0,0.28,0.19,0,0,1223,783,12,87
Cu-8Ni-1.8Si-0.6Sn-0.15Mg,Cu-Ni-Si alloys,89.45,0,0,0.15,8,1.8,1243,773,0.5,27
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,86.04,0,0,0.04,0.9,0.55,1248,823,3,38
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,83.05,0.2,0,0.02,1.4,0.64,1248,823,1,40
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,89.76,0,0,0,1.9,0.64,1248,773,5,43
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,89,0,0.3,0.2,2.2,0.55,1248,773,4,42
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,88.76,0,0,0.1,1.6,0.55,1248,773,2,44
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,89.11,0,0,0,1.2,0.64,1248,773,4,44
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,89.83,0,0,0.1,1.2,0.55,1248,773,4,43
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,90.31,0,0,0.2,1.6,0.55,1248,773,4,45
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,90.51,0,0,0.03,1.3,0.56,1248,773,6,47
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,90.03,0,0,0,1.2,0.64,1248,773,5,46
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,90.03,0,0,0,1.2,0.6,1248,773,5,46
Cu-1.3Ni-1.4Co-0.56Si-0.03Mg,Cu-Ni-Si alloys,89.69,0,0,0.04,1.2,0.64,1248,773,4,45
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,7,50
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,0.167,25
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,0.5,31
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,1,38
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,3,51
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,6,54
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,7,43
Cu-6Ni-1.4Si-0.1Ti,Cu-Ni-Si alloys,92.35,0,0,0,6.2,1.34,1253,773,7,41
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,7,46
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,0.15,24
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,0.5,28
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,1,29
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,3,34
Cu-6Ni-1.5Si,Cu-Ni-Si alloys,92.62,0,0,0,5.94,1.44,1253,773,6,35
Cu-2Ni-0.5Si,Cu-Ni-Si alloys,97.5,0,0,0,2,0.5,1003,673,72,47
